product_url	name	description	image_url	category	price
"http://www.cocktail.uk.com/shop/products/product.asp?ID=3"	"Thirst Aid Helmet (Single Hat)"	"This hat is a drinkers dream. If you have permanently got an ache in your right arm then this is for you!"	"http://www.cocktail.uk.com/images/shop/products/6120.jpg"	"Novelty"	"5.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=3"	"Thirst Aid Helmet (3 pack)"	"This hat is a drinkers dream. If you have permanently got an ache in your right arm then this is for you!"	"http://www.cocktail.uk.com/images/shop/products/6120.jpg"	"Novelty"	"15.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=4"	"Stainless Steel Wine Cooler"	"Stainless steel double wall cooler. Light and unbreakable. Easy to clean and keeps drinks cold for hours. Gift boxed."	"http://www.cocktail.uk.com/images/shop/products/6130.jpg"	"Champagne/Wine Coolers & Buckets"	"14.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=7"	"Exacto Pourers (2x25ml)"	"No booze cabinet should be without 'Exacto Pourers'. Simply push into your favourite bottle of spirit and tilt. This little gadget will then dispense an approx measure into your glass. Available in 25ml, 35ml & 50ml"	"http://www.cocktail.uk.com/images/shop/products/1166.jpg"	"Bar Essentials"	"6.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=7"	"Exacto Pourers (3x35ml Chrome Effect)"	"No booze cabinet should be without 'Exacto Pourers'. Simply push into your favourite bottle of spirit and tilt. This little gadget will then dispense an approx measure into your glass. Available in 25ml, 35ml & 50ml"	"http://www.cocktail.uk.com/images/shop/products/1166.jpg"	"Bar Essentials"	"11.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=7"	"Exacto Pourers (5x25ml & 2x50ml)"	"No booze cabinet should be without 'Exacto Pourers'. Simply push into your favourite bottle of spirit and tilt. This little gadget will then dispense an approx measure into your glass. Available in 25ml, 35ml & 50ml"	"http://www.cocktail.uk.com/images/shop/products/1166.jpg"	"Bar Essentials"	"19.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=11"	"Bottle In A Glass Glass"	"For the super wine drinkers comes the bottle in a glass glass, holding a whopping 75cl of wine! Why share when you can have it all? Not for the faint hearted."	"http://www.cocktail.uk.com/images/shop/products/706.jpg"	"Novelty"	"6.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=14"	"DropStop Discs"	"Insert one of the three discs in your wine bottle and avoid any spillage. The disc rolls up and fits tightly into any bottle forming a seal. Easy to use and re-usable. Supplied in a clear plastic case."	"http://www.cocktail.uk.com/images/shop/products/5439.jpg"	"Other Wine Stuff"	"3.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=15"	"Wine Pump Saver"	"Tired of throwing away half full bottles of wine that you didn't finish yesterday? Do you want something to keep your wine fresh and drinkable once opened?"	"http://www.cocktail.uk.com/images/shop/products/35.jpeg"	"Other Wine Stuff"	"4.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=16"	"Red Wine Breather - Air Au Vin"	"The Red Wine Breather cuts the breathing time down from hours to minutes"	"http://www.cocktail.uk.com/images/shop/products/29.jpeg"	"Other Wine Stuff"	"9.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=17"	"Wine Stack Rack"	"Stylish wine rack that simply clicks together. This pack has 6 pieces which will hold 18 bottles of plonk."	"http://www.cocktail.uk.com/images/shop/products/31.jpeg"	"Wine Racks & Stands"	"21.99"
"http://www.cocktail.uk.com/shop/products/product.asp?ID=19"	"Champagne Accessories (Bucket)"	"Polished champagne/wine bucket with stainless steel handles. Why not add one of our black wrought iron stands to place the bucket in."	"http://www.cocktail.uk.com/images/shop/products/39.jpeg"	"Wine Racks & Stands"	"11.99"
